English Term,Portuguese Term,Description
Workout,Treino,"Termo geral para sessões de exercícios físicos estruturados com objetivo de melhorar o condicionamento, força ou saúde."
Workout Plan,Plano de Treino,"Um plano estruturado que define os exercícios, frequência, volume e intensidade ao longo de um período, visando objetivos específicos."
Workout Sessions,Sessões de Treino,Sessões individuais de treino realizadas em um determinado dia.
Workout Days,Dias de Treino,Dias específicos da semana reservados para a prática de exercícios dentro de um plano de treino.
Workout Exercises,Exercícios do Treino,"Movimentos ou atividades físicas específicos realizados durante uma sessão de treino, com foco em grupos musculares ou objetivos."
Exercises,Exercícios,Qualquer atividade física realizada com o objetivo de melhorar o condicionamento físico; pode ser usada de forma ampla ou específica.
Session Logs,Registros de Sessão,"Registros ou anotações de cada sessão de treino, incluindo exercícios feitos, séries, repetições, cargas e percepção de esforço."
Training Split,Divisão de Treino,"Forma como os grupos musculares ou tipos de treino são organizados ao longo da semana. Ex: treino A/B, push/pull/legs, etc."
Reps (Repetitions),Repetições,Número de vezes que um exercício é realizado consecutivamente em uma única série.
Sets,Séries,Conjunto de repetições de um exercício realizadas antes de uma pausa. Exemplo: 3 séries de 10 repetições.
RPE (Rate of Perceived Exertion),RPE (Escala de Esforço Percebido),"Escala subjetiva de 1 a 10 usada para medir o quão difícil foi um exercício ou série, baseada na percepção de esforço do praticante."
Load / Intensity,Carga / Intensidade,"Refere-se ao peso utilizado ou ao nível de esforço exigido em um exercício, geralmente representado como porcentagem da carga máxima (1RM)."
